stamp_ns,elapsed_sec,time_gap_ms,go2_x_m,go2_y_m,go2_yaw_deg,vo_x_m,vo_y_m,vo_yaw_deg,xy_difference_m,yaw_difference_deg
1785126566109129883,74.184556885,0.88513,-0.14401202735902924,0.005792383240116314,-117.35829736723922,-0.40988046290937274,0.01813928235521166,-126.17571748937327,0.26615497541797994,-8.81742012213405
1785126566142487549,74.217914551,2.423836,-0.14566901526079734,0.006086438781579898,-116.64443127673523,-0.41105348274192244,0.020739659541788434,-125.48782504346381,0.26578869889234896,-8.843393766728573
1785126566175845215,74.251272217,2.304819,-0.14770595760257677,0.006037141891866396,-115.96228543504924,-0.4134195374148009,0.020261777283540117,-124.81913075757883,0.26609405620692334,-8.856845322529594
1785126566209202881,74.284629883,0.851889,-0.150022361610886,0.0057033909562855395,-115.3612300908781,-0.4158866057155494,0.020545846164871987,-124.15941263120337,0.2662782281185658,-8.798182540325275
1785126566242560303,74.317987305,1.03265,-0.15149342466619098,0.005830737720184137,-114.66603074585277,-0.41777164570790204,0.021381045931648652,-123.43606719179658,0.26673189364342964,-8.77003644594382
1785126566275917969,74.351344971,0.910387,-0.15325715303545234,0.005736069111445571,-113.95218521659923,-0.4197361924253997,0.022013732578628396,-122.73348130289065,0.26697573066130936,-8.781296086291423
1785126566309275635,74.384702637,1.087578,-0.154659019972241,0.006001244066474384,-113.22013193546765,-0.41729220345668383,0.018303802834535806,-122.1531545703442,0.26292117073262594,-8.933022634876558
1785126566342633301,74.418060303,1.012522,-0.15528914169462707,0.006194307740575361,-112.44377668982284,-0.4198583038063196,0.01996331779781698,-121.3178047756044,0.2649272110947448,-8.87402808578155
1785126566375990723,74.451417725,1.03545,-0.15517507758925642,0.0063613720122845385,-111.76405140724158,-0.4199626377826986,0.025319758767154935,-120.55428682958885,0.26546538844365947,-8.79023542234727
1785126566409348389,74.484775391,0.969215,-0.1541781964955704,0.006932593331344633,-111.15306329250338,-0.4183252269554871,0.02122911290575754,-120.03597650682939,0.26453363523894974,-8.882913214326003
1785126566442706055,74.518133057,1.162142,-0.15286752462025915,0.007650794501865524,-110.54231253821501,-0.41575699699807295,0.024588234075273437,-119.3891833938502,0.2634345299052274,-8.846870855635187
1785126566476063477,74.551490479,1.201521,-0.15188129539093215,0.0078036169056022175,-109.85043621782914,-0.4125438640433411,0.02566063997674541,-118.75309510046554,0.26127351180216324,-8.90265888263641
1785126566509421143,74.584848145,1.276907,-0.15065261830386506,0.008873442780065285,-109.04097327858646,-0.41597861115127754,0.027685321621653373,-117.82770856204317,0.26599204737363064,-8.786735283456698
1785126566542778809,74.618205811,1.066429,-0.14982626681021943,0.010652100714549431,-108.23654827944934,-0.4123802307120138,0.02960739868166419,-117.0436676431172,0.26323732121712307,-8.807119363667873
1785126566576136230,74.651563232,1.291297,-0.1484843679731097,0.012767115180494552,-107.46958100546843,-0.4154554739039705,0.0330012073135651,-116.17602730044727,0.26773679217917823,-8.706446294978848
1785126566609493896,74.684920898,1.268932,-0.14596062702796578,0.014462743027593483,-106.75939595661313,-0.41165988908443596,0.0358684023953888,-115.55005433898454,0.26656012475672897,-8.790658382371404
1785126566642851563,74.718278565,1.234646,-0.14553315290669747,0.016126875702901028,-106.06002513904609,-0.405486128248206,0.03456930579996939,-114.98872730644561,0.26060635567228246,-8.928702167399512
1785126566676209229,74.751636231,1.274746,-0.14589088836075592,0.014909924340328937,-105.35203559496712,-0.40809477182626397,0.04124951491856415,-114.14019679733168,0.26352352937873075,-8.788161202364567
1785126566709566650,74.784993652,1.374206,-0.14385669700490872,0.014338894203518762,-104.96717102727692,-0.41065370694535347,0.048936876830300416,-113.50290688746993,0.2690309738952094,-8.535735860193018
1785126566742924316,74.818351318,1.297958,-0.14352779214605094,0.013114719941643871,-104.95473060297782,-0.4092298809416259,0.047612362247857226,-113.4542201733778,0.26793224388829917,-8.499489570399998
1785126566776281982,74.851708984,1.435333,-0.14242126912620007,0.011757046920170204,-104.74672264550489,-0.40836088384459945,0.047374032253954576,-113.22232935723667,0.2683140852076866,-8.475606711731789
1785126566809639404,74.885066406,1.454685,-0.14090799673143573,0.010680638431718618,-104.43804120845921,-0.40461586584649134,0.04166166921228433,-113.02628007195274,0.26552149536606195,-8.588238863493528
1785126566842997070,74.918424072,1.415391,-0.13956552070064987,0.009260180132210055,-104.38582695455162,-0.40753168350315705,0.04241333539975564,-112.79434093593764,0.27000925189943725,-8.408513981386035
1785126566876354736,74.951781738,1.55372,-0.13752407613800233,0.007144343875513215,-104.47430003424603,-0.4072344353283882,0.039089109902690315,-112.86857003342878,0.2715955558015227,-8.39426999918275
1785126566909712158,74.98513916,1.547323,-0.13597492920316723,0.004262460436118186,-104.58281309093431,-0.4088213588762001,0.03971673086094726,-112.88806494684718,0.2751402905368063,-8.305251855912868
1785126566943069824,75.018496826,1.534017,-0.13491342018250682,0.0019124165680520153,-104.6149623803646,-0.4061375812803904,0.036076923940949926,-112.9764543682816,0.2733674434296877,-8.361491987916995
1785126566976427490,75.051854492,1.706201,-0.13400237183288832,-0.00020894743809094646,-104.62335968061987,-0.404853776970907,0.029958466987882834,-113.08445044993015,0.2725262493015812,-8.461090769310282
1785126567009784912,75.085211914,1.960398,-0.13339928370746706,-0.0023023613121233508,-104.65690092736901,-0.40425422348204104,0.027984117416489682,-113.15339819491271,0.27254296761073626,-8.496497267543702
1785126567043142334,75.118569336,1.666865,-0.13277969250577654,-0.004184199453850568,-104.66239004946968,-0.40379683860598503,0.027499175320700828,-113.16409351885794,0.27286284048475057,-8.501703469388266
1785126567076499756,75.151926758,1.622955,-0.13181157650221312,-0.005674790726276947,-104.64097621509836,-0.4050182679761652,0.027761801739034697,-113.11302078589092,0.27524516704537166,-8.472044570792555
1785126567109857178,75.18528418,1.722336,-0.13126474246345465,-0.006906994403936384,-104.64894440172974,-0.4041396822676648,0.02526482409009749,-113.1286474948982,0.2747649152973581,-8.479703093168474
1785126567143214600,75.218641602,1.724441,-0.13032386845282873,-0.007935576052123715,-104.64527763651905,-0.4045058203354073,0.022768153090384567,-113.07785179405417,0.2758957442973652,-8.43257415753511
1785126567176572021,75.251999023,1.85283,-0.12890101535255227,-0.008927535954466777,-104.62545398699231,-0.4001965822351247,0.019951998721750713,-113.18823877866546,0.2728283565417114,-8.562784791673154
1785126567209929443,75.285356445,1.82283,-0.12686324226852558,-0.01000063529145899,-104.56901247011699,-0.40079515051887604,0.01867908656319796,-113.10753133245555,0.2754291502425604,-8.538518862338558
1785126567243286865,75.318713867,1.832645,-0.12431471013059317,-0.011036056528063741,-104.45755125043708,-0.3976869755955967,0.016369488761342553,-113.00610584929603,0.27474253299785606,-8.548554598858955
1785126567276644287,75.352071289,1.885852,-0.12111822393728908,-0.012058603734571093,-104.28122859055294,-0.39083556046966045,0.01444198395717627,-112.93630413384233,0.27101609320135306,-8.655075543289374
1785126567310001709,75.385428711,1.943828,-0.11737508006963618,-0.013294763254003021,-103.9642629891287,-0.38346375254016907,0.009153449809287215,-112.78550745721522,0.267033900257749,-8.821244468086524
1785126567343359131,75.418786133,1.950544,-0.11338883152298329,-0.014616985828492059,-103.49538506381079,-0.3751169218944056,0.005911932291200586,-112.40915013255399,0.262531959518525,-8.913765068743194
1785126567376716553,75.452143555,1.929604,-0.1083397073096644,-0.016380840791895328,-102.94130020243061,-0.36990974989086967,0.005527830477156712,-111.82543624326117,0.2624859559151859,-8.884136040830562
1785126567410073975,75.485500977,2.022627,-0.1027718912917358,-0.01795853371835488,-102.33337478303056,-0.3636541317382937,0.0023989265424860353,-111.21917362517095,0.2616753132580285,-8.88579884214038
1785126567443431396,75.518858398,1.903457,-0.09651434724888114,-0.019346762933505565,-101.55023157204985,-0.3581328174767621,-0.00045164467146625376,-110.43021367388931,0.26229992271922825,-8.879982101839467
1785126567476788818,75.55221582,2.092563,-0.0899101558815476,-0.021184523627817056,-100.6660704216465,-0.3535214829950121,0.0001044356744436238,-109.49133605367271,0.26446956643571545,-8.825265632026216
1785126567510146240,75.585573242,1.952413,-0.08457404658009601,-0.022578883748462123,-99.8336124030314,-0.34544243185986084,-0.003945509575527702,-108.71867449092535,0.2615330133492528,-8.885062087893953
1785126567543503662,75.618930664,1.968904,-0.07942411562874933,-0.024422475308076723,-99.05961984326285,-0.34262139546230364,-0.005082367574758824,-107.81473203974274,0.2639068924429952,-8.755112196479898
1785126567576861084,75.652288086,9.903586,-0.07396710472241383,-0.02613307606030303,-98.46085447480039,-0.3349976602413912,-0.003631259212221545,-107.04626538586069,0.2619986310575124,-8.585410911060315
1785126567610218506,75.685645508,1.222248,-0.06757614052639123,-0.028149121604266206,-97.45623056498147,-0.32672829706583584,0.0011925052134513694,-106.19499561666589,0.26080792032328126,-8.738765051684426
1785126567643575928,75.71900293,0.3701,-0.06219037639782331,-0.02921556482457805,-96.8029843391167,-0.32118483009155735,0.0006050624852459714,-105.33271613228014,0.2607055750406331,-8.529731793163428
1785126567676933350,75.752360352,2.192463,-0.05648285890106406,-0.029932127788621938,-96.14609959537546,-0.30851991783780314,-0.0077836222074065264,-104.77300729623208,0.2530083701717443,-8.626907700856629
1785126567710290771,75.785717773,2.226596,-0.04784379400277459,-0.03151310804936618,-95.49856302605617,-0.2973952698393274,-0.012320262374426677,-104.15320284772906,0.2502884424365289,-8.654639821672886
1785126567743648193,75.819075195,2.281234,-0.038302974541293784,-0.03382631346687462,-94.93852907324738,-0.28547747091358955,-0.014203241383088386,-103.65132443903755,0.24795220631182843,-8.712795365790175
1785126567777005615,75.852432617,2.363767,-0.028646950694402616,-0.03425487432641282,-94.34254701297225,-0.2957796605678462,-0.020929614361279977,-102.41900072671795,0.26746485234039213,-8.076453713745707
1785126567810363037,75.885790039,2.253181,-0.02161479603230232,-0.03609866904258921,-93.96410073782246,-0.276892338429678,-0.037959099425345526,-102.66380299814581,0.2552843215978079,-8.699702260323347
1785126567843720459,75.919147461,2.266334,-0.012645686272467824,-0.03752613600981354,-93.46921533915142,-0.2725451040895987,-0.03485456637086212,-102.00192172272409,0.25991314831308426,-8.532706383572672
1785126567877077881,75.952504883,2.372232,-0.006691785029449513,-0.03755142394802308,-92.81187218835139,-0.26812461798036485,-0.035079426533500394,-101.19349701376812,0.2614445197665436,-8.381624825416747
1785126567910435303,75.985862305,2.403267,-0.0009994623177048342,-0.03995642790933833,-92.31911898569719,-0.25992361199657127,-0.0371694450038429,-100.67887175723571,0.25893914837397525,-8.359752771538522
1785126567943792725,76.019219727,2.480078,0.007415758822482035,-0.042772110517729646,-91.81794658171337,-0.24905146202248313,-0.04076150716366794,-100.28755400822529,0.256475101898386,-8.469607426511917
1785126567977150146,76.052577148,0.913533,0.01621154079309932,-0.04522039052754141,-91.26810313127184,-0.24167537379760604,-0.04586052729886982,-99.77528182221883,0.2578877090754807,-8.507178690946972
1785126568010507568,76.08593457,0.832907,0.024295959064621345,-0.04675706275046439,-90.81567416255659,-0.23476722426035943,-0.0471962111332563,-99.27662719541158,0.2590635555337236,-8.460953032854988
1785126568043864990,76.119291992,7.006716,0.031021669154126977,-0.04712367767959394,-90.46493463151036,-0.2246566863813193,-0.049412481278024875,-98.89363962556615,0.25568859988513815,-8.428704994055801
1785126568077222412,76.152649414,0.886471,0.03685314895973655,-0.047484497201067545,-89.81173873264079,-0.21716666816630664,-0.048163526536733524,-98.3156950652592,0.25402072469305953,-8.503956332618426
